Track	Artist	Lyrics	Date	Gold	K1	K2	K3	L1	L2	L3	Sim K1	Sim K2	Sim K3	Sim L1	Sim L2	Sim L3
After Forever	Black Sabbath	Have you ever thought about your soul can it be saved?Or perhaps you think that when you're dead you just stay in your graveIs God just a thought within your head or is he a part of you?Is Christ just a name that you read in a book when you were in school?When you think about death do you lose your breath or do you keep your cool?Would you like to see the Pope on the end of a rope do you think he's a fool?Well I have seen the truth, yes I've seen the light and I've changed my waysAnd I'll be prepared when you're lonely and scared at the end of our daysCould it be you're afraid of what your friends might sayIf they knew you believe in God above?They should realize before they criticizeThat God is the only way to loveIs your mind so small that you have to fallIn with the pack wherever they runWill you still sneer when death is nearAnd say they may as well worship the sun?I think it was true it was people like you that crucified ChristI think it is sad the opinion you had was the only one voicedWill you be so sure when your day is near, say you don't believe?You had the chance but you turned it down, now you can't retrievePerhaps you'll think before you say that God is dead and goneOpen your eyes, just realize that he's the oneThe only one who can save you now from all this sin and hateOr will you still jeer at all you hear, yes I think it's too late	Yes	Religion	Death	Reflection	Mortality	Religion	Religion	Faith	0.38	0.38	0.2	1.0	1.0	0.72
Anytime You Need a Friend	Mariah Carey	If you're lonelyAnd need a friendAnd troubles seem likeThey never endJust remember to keep the faithAnd love will be there to light the wayAnytime you need a friendI will be hereYou'll never be alone againSo don't you fearEven if you're miles awayI'm by your sideSo don't you ever be lonelyLove will make it alrightWhen the shadows are closing inAnd your spirit diminishingJust remember you're not aloneAnd love will be thereTo guide you homeAnytime you need a friendI will be hereYou'll never be alone againSo don't you fearEven if you're miles awayI'm by your sideSo don't you ever be lonelyLove will make it alrightIf you just believe in meI will love you endlesslyTake my handTake me into your heartI'll be there forever babyI won't let goI'll never let goAnytime you need a friendI will be hereYou'll never be alone againSo don't you fearEven if you're miles awayI'm by your sideSo don't you ever be lonelyIt's alrightIt's alright, it's alrightYes, you know it's alrightOh, don't ever feel itOh, I'm by your side don't you ever be lonelyYeah, anytimeOh, you'll never be alone	Yes	Religion	Friendship	Friendship	Support	Friendship	Friendship	Support	0.38	0.38	0.23	0.38	0.38	0.23
Brightest Morning Star	Britney Spears	You are the light of my beautiful lifeYou are the light of my beautiful lifeYou know I wake up and every dayI feel safe knowing that you got my back now and foreverLiving my life 'cause I've got nothing to doWhen a tear falls you put your hands outYou catch my tears and I'm feeling so close to your love nowIf I was lost now I can be found (I lift my hand and pray)'Cause life is tough somedaysBut I will not lose faith 'cause you will lead the wayYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou are the light of my beautiful lifeI can never let go, you're my brightest morning starYou are the light of my beautiful lifeI can never let go, you're my brightest morning starIn you arms I, I feel aliveI am not afraidI will keep you, listen closelyI look for signs everyday (I lift my hand and pray)'Cause life is tough somedaysBut I will not lose faith 'cause you will lead the wayYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou're my light when it gets darkYou're always in my heartYou're my brightest morning starYou are the light of my beautiful lifeYou are the light of my beautiful life	Yes	Religion	Religion	Hope	Hope	Love	Love	Love	1.0	0.35	0.35	0.37	0.37	0.37
Mood Ring	Lorde*	I'm tryna blow bubbles, but insideCan't seem to fix my moodToday it's as dark as my rootsIf I, if I ever let them grow out (ah-ah)Now all of my oceans have riptidesCan't seem to find what's wrongThe whole world is letting me downDon't you think the early 2000s seem so far away? (Ay-ay-ay-ay)Ladies, begin your sun salutationsTranscendental in your meditations (love and light)You can burn sage, and I'll cleanse the crystalsWe can get high, but only if the wind blows (blows just right)I can't feel a thingI keep looking at my mood ringTell me how I'm feelingFloating away, floating awayI'm tryna get well from the insidePlants and celebrity news, all the vitamins I consumeLet's fly somewhere eastern, they'll have what I need (they'll have what I need)Let's goLadies, begin your sun salutationsPluto in Scorpio generation (love and light)You can burn sage, and I'll cleanse the crystalsWe can get high, but only if the wind blows (blows just right, ri-ri-ri-right)I can't feel a thingI keep looking at my mood ringTell me how I'm feelingFloating away, floating awayAll the sad girls singWe'll keep dancing 'til the mood ringsTell us how we're feelingWe're floating away, floating awayTake me to some kindaTake me to some kindaTake me to some kinda place (anywhere)Watch the sun set, look back on my life (take me to some kinda)I just wanna know, will it be alright? (Take me to some kinda)Take me to some kinda place (anywhere)	No	Religion	Love	Self-awareness	Mood	Depression	Self-reflection	Self-reflection	0.37	0.39	0.22	0.27	0.41	0.41
Rich Spirit	Kendrick Lamar*	Takin' my baby to school, then I pray for her'Cause you bitches ain't never been cool, writin' testamentPaintin' pictures, put me in the Louvre, that's a definiteUniversal shift, I'm in a grooveAnd celebrity do not mean integrity, you foolI'm a good man, shakin' hand, firm grip ruleSeventy-two ways, lost ten, ballin' with the fluMore than two M's for a show, but add another two, hmmLil' Man-Man, the big mans, the GT diamond flippin' the kickstand, oohRich nigga, broke phone (ah)Tryna keep the balance, I'm stayin' strong (ooh)Stop playin' with me 'fore I turn you to a song (yeah)Stop playin' with me 'fore I turn you to a song (ooh)Ayy, bitch, I'm attractive (ah)Can't fuck with you no more, I'm fastin', ugh (ooh)Bitch, I'm attractive (ah, ah, ah, ah)Can't fuck with you no more, I'm fastin', ughThe morality can waitFeedback on low latencyI'm glitching from the face as my thoughts grow sacredlyI'm runnin' out of space, ask Whitney, she okayNever mind a hunnid K, why you lyin' on Benjamin?He turnin' in his graveI'd be lyin' if I said I wouldn't give this shit awayThe aloof Buddha, I'm Christ with a shooterPraise to Muhammad, I might nigga noose yaAP, Michael Friedman, my friends coolerPrimary, so the resale value stupidI would never live my life on the computerIG'll get you life for a chikabooyaMore power to ya, love 'em from a distanceWhy you always in the mirror more than the bitches?And my cousin tried to sue me like he got the privilegeBut I didn't lose sleep 'cause I got the spirit, ayy (ooh)Rich nigga, broke phone (ah)Tryna keep the balance, I'm stayin' strong (ooh)Stop playin' with me 'fore I turn you to a song (yeah)Stop playin' with me 'fore I turn you to a song (ooh)Ayy, bitch, I'm attractive (ah)Can't fuck with you no more, I'm fastin', ugh (ooh)Bitch, I'm attractive (ah, ah, ah, ah)Can't fuck with you no more, I'm fastin', ughDun-duh, dun-duh, dun-duh, duh, dumDun-duh-duh, duh, duhDun-duh, dun-duh, dun-duh, dun-duh, dunFrat brother, real nigga, that brotherWe just upped the score, give me dap, brotherSpirit medium, I don't rap, brotherWe headed there now, are you strapped brother?Ayy, peacemaker, but I'm not naïve, brotherAyy, gotta watch your homies and police, brotherAyy, clout chasing hell of a disease, brotherI'm fasting four days out the week, brotherI pray to God that you realize the entourage is deadI pray to God that you not lackin' when you off the medsI pray to God she know them Cabo trips don't last foreverBet she argue with her mama, go and get them kidsI pray to God you actually pray when somebody diesThoughts and prayers, way better off timelinesFalse claimin' not cute, I'm mortifiedThe new Earth in hot pursuit, two-hundred livesRich nigga, broke phone (ah)Tryna keep the balance, I'm stayin' strong (ooh)Stop playin' with me 'fore I turn you to a song (yeah)Stop playin' with me 'fore I turn you to a song (ooh)Ayy, bitch, I'm attractive (ah)Can't fuck with you no more, I'm fastin', ugh (ooh)Bitch, I'm attractive (ah, ah, ah, ah)Can't fuck with you no more, I'm fastin', ughDun-duh, dun-duh, dun-duh, duh, dumDun-duh-duh, duh, duhDun-duh, dun-duh, dun-duh, dun-duh, dunDun-duh, dun-duh, dun-duh, duh, dumDun-duh-duh, duh, duhDun-duh, dun-duh, dun-duh, dun-duh, dun	No	Religion	Drugs	Success	Ambition	Drugs	Success	Confidence	0.28	0.24	0.31	0.28	0.24	0.26
Please God Don’t Tell Anyone	Jack White*	Please God, don't tell anyoneWhat I do or what I have doneWhen my father gets to Heaven, please spare him the tellingOf the ways I've been sinning ever since the beginningHe won't understand and even if he did, I'm still his sonPlease God, don't tell anyonePlease God, don't show anyoneAll the idiot things that I've doneWhen my son gets to Heaven, will hе be shown the yelling?All thе robbing and fighting, and the thunder and lightning?He won't know that I did that just to feed my own daughter and sonPlease God, don't show anyone, heyOh, baby, what have I done?Have I proven myself to no one?Will the things I did well even save me from Hell?I can't even recall all the sins, I can't tellWill a thousand good deeds be erased then by just one bad one?Oh, baby, what have I done? HeyPlease God, don't tell anyoneI was providing, not just having funWell, my boy started screaming, so I started stealingMy daughter was crying, so I started lyingMy baby was sobbing, so I started robbing with a gunPlease God, don't tell anyoneAnd please God, don't tell anyone	No	Religion	Religion	Secrecy	Secrecy	Religion	Secrets	Guilt	1.0	0.32	0.32	1.0	0.25	0.41
Freedom	Justin Bieber	"Big up to my brotherBlessed sons and daughtersWe all lookin' for the answersWe in search of living waterToo blind to see the MessiahAre you weary? Are you tired?Runnin' on empty, feelin' the fireMmm, the Devil is a liarThe story's already writtenChildren, you are forgiven, yeahAin't nothin' you could do for you to change thatAnd everything you did, He erased thatYeah, He took it all and threw it in the wastelandFreedom, don't it feel good? (Mmm)Freedom, don't it feel good?Freedom, don't it feel good? (Mmm)Freedom, don't it feel good? (Bah)Big up to our Father (big)If you call pon Him, Him answer (brrt)All we need ah the begotten son to prosper (yeah, yeah)The dead resurrected, the Devil tried test it, him lostHim lose again (mmm)Head bruise again (mm-hmm-hmm)Sweat, blood, tears pon the crossDid you know He paid the cost for you?Work over North, West, South and EastEaster Sunday, bun and cheeseGood Friday fish and bammyOne table and one familyAll of the times when mi cry for The Most HighGod said, ""Nuh worry about it, my love abundant, trust in mine"" (mmm)Freedom, don't it feel good? (Mmm)Freedom, don't it feel good?Freedom, don't it feel good? (Mmm)Freedom, don't it feel good?"	No	Religion	Religion	Freedom	Liberation	Religion	Faith	Faith	1.0	0.57	0.44	1.0	0.72	0.72
Praise God	Kanye West	"That she wrote, ""Speech to the Young: Speech to the Progress Toward""Say to them, say to the down-keepers, the sun-slappersThe self-soilers, the harmony-hushersEven if you are not ready for the day, it cannot always be nightServe, flex, I do work (work), six, I'm like MikeHe's out of sight, woo, you done got me pipedTwo-man like Ike, six out the spot (uh, uh)Into the nightYeah, I'm shaking the drop (drop)I'm still up on top (aight)I been had the bop (ooh-ooh)The devil my opp, can't pay me to stop (It's lit)My God at the top (La Flame)We gon' praise our way out the grave, dawgLiving, speaking, praise GodWalking out the graveyard back to lifeI serve, follow your worth, see with new sight, into the night (hey)Yeah, this life I'm living (I'm living)All the advice been tipped in (that thing)Gave me that grip, no slipping (that grip)Out of my mind, went tripping (my mind)Tell me take two when I'm on one (I'm on)That lookout like no one, kept it real tight like yo' son (yo' son)Yeah (La Flame)We gon' praise our way out the grave, dawgLiving, speaking, praise GodWalking out the graveyard back to life (hey)I serve, follow your worth, see with new sight, into the night (hey)Still on sight, huh, still outsideI just, huh, still outside, huh, still outsideTame Imp-, Tame ImpalaTame Impala stay outside, huhAnd I'm still outside, I'm still outside, still outside, huLet's get right, huh, let's get right, uh, let's get right, uh, huhLet's get right, let's get (ayy, ayy, ayy), let's get rightLet's get (ayy, ayy, ayy), let's get- (hey)Look at new scenes, I opened my life, I'm subject to memesI signed a few -, I polished their dreamsAn angel on Earth, come under my wingStop running your publishers-They publish the headlines and say the wrong thingsY'all treat your Lord and Savior like renters' insuranceYou know what I mean?Bada the bada the boom, I bada the boom, I bada the bingI need a new girl, my old one was meanI had to let go, forgave all them evils that came to my showsI channeled them bad, all in abodeI challenge the trust, I challenge the turbulenceI came with the lifeI gathered my sinners and asked if I'm right, let's get-I just get right, huhLet's get right, let's get right, let's get right, shh, shhAin't on sight, it's on sightI don't know you, you, you, you, it's on sightI don't know you, you, you, you (ayy, ayy), let's get rightAyy, all of my n-as on Channel 5I don't channel ten 'til it go timeUsed to throw up my uncle's spaghettiBeen toting totes since before I was readyBack when my mama told me that I was challengedA single black woman, you know that she pettyI turned a heavy heart to two million dollarsI put that in totals, reverse out the dayI gotta, I gotta put on a rager one timeI swung the powder, went major one timeI know some white people serving no timeI gotta do it for me, do it for, pray for meDoing it for all the ones dyingI wanna do it for all the ones cryingI wanna, uh, uh, uh, let's get right, huh"	No	Religion	Religion	Spirituality	Devotion	Religion	Faith	Empowerment	1.0	0.69	0.46	1.0	0.72	0.36
42	Coldplay	Those who are dead are not deadThey're just living in my headAnd since I fell for that spellI am living there as well, ohTime is so short and I'm sureThere must be something moreThose who are dead are not deadThey're just living in my head, ohAnd since I fell for that spellI am living there as well, ohTime is so short and I'm sureThere must be something moreYou thought you might be a ghostYou thought you might be a ghostYou didn't get to Heaven, but you made it closeYou didn't get to Heaven, but you made it closeYou thought you might be a ghostYou thought you might be a ghostYou didn't get to Heaven, but you made it closeYou didn't get to Heaven, but you, oh, ohThose who are dead are not deadThey're just living in my head, ooh	Yes	Death	Friendship	Reflection	Reflection	Death	Death	Reflection	0.33	0.23	0.23	1.0	1.0	0.23
Hammer To Fall	Queen	Here we stand or here we fallHistory won't care at allMake the bed light the lightLady mercy won't be home tonight yeahYou don't waste no time at allDon't hear the bell but you answer the callIt comes to you as to us allWe're just waitingFor the Hammer To FallOh ev'ry night and every dayA little piece of you is falling awayBut lift your face the western wayBuild your muscles as your body decays yeahToe your line and play their game yeahLet the anaesthetic cover it allTill one day they call your nameYou know it's time for the Hammer To FallRich or poor or famousFor your truth it's all the same (oh no oh no)Lock your door the rain is pouringThrough your window pane (oh no)Baby now your struggle's all in vainFor we who grew up tall and proudIn the shadow of the mushroom cloudConvinced our voices can't be heardWe just wanna scream it louder and louder louderWhat the hell we fighting for?Just surrender and it won't hurt at allYou just got time to say your prayersWhile your waiting for the hammer to Hammer To FallIt's gonna fallHammer, you know, Hammer To FallWhile you're waiting for the Hammer To FallGive it to me one more time	Yes	Death	Death	Reflection	Consequences	Death	Rebellion	Rebellion	1.0	0.23	0.49	1.0	0.4	0.4
Recovering	Celine Dion	I am recoveringThe faith of a childBy a part of my heartI was reckless and wildI am recoveringThe hope that I lostThe part of my soulThat paid the costLittle by little, day by dayOne step at a timeShake off the devil, ohTake back my piece of mindI am a recoveringAnxiety addictA broken perfectionistSomewhat erraticI am a recoveringA constant regretterHold it against herAt least till foreverLittle by little, day by dayOne step at a timeShake off the devil, ohTake back my piece of mindHold meAs I fall apart, babyHold meHere in the darkCause the old meRun just as far as I could from my heartWell, I'm going back to the startLittle by little, day by dayOne step at a timeShake off the devil, ohTake back my piece of mindTell him I love him, yeahTake back my piece of mind	Yes	Death	Heartache	Healing	Healing	Heartache	Healing	Growth	0.34	0.32	0.32	0.34	0.32	0.25
Art of Dying	George Harrison	There'll come a time when all of us must leave hereThen nothing sister Mary can doWill keep me here with youAs nothing in this life that I've been tryingCould equal or surpass the art of dyingDo you believe me?There'll come a time when all your hopes are fadingWhen things that seemed so very plainBecome an awful painSearching for the truth among the lyingAnd answered when you've learned the art of dyingBut you're still with meBut if you want itThen you must find itBut when you have itThere'll be no need for itThere'll come a time when most of us return hereBrought back by our desire to beA perfect entityLiving through a million years of cryingUntil you've realized the art of dyingDo you believe me?	Yes	Death	Death	Reflection	Transition	Death	Existentialism	Mortality	1.0	0.23	0.24	1.0	0.15	0.5
Fade to Black	Metallica*	Life it seems to fade awayDrifting further everydayGetting lost within myselfNothing matters, no one elseI have lost the will to liveSimply nothing more to giveThere is nothing more for meI need the end to set me freeThings not what they used to beMissing one inside of meDeathly loss this can't be realI cannot stand this hell I feelEmptiness is filling meTo the point of agonyGrowing darkness taking dawn, yeahI was me but now, he's goneHey, do you hear us Cliff? Do you hear us Cliff?No one but me can save myself, but its too lateNow I can't think, think why I should even try, oh noYesterday seems as though it never existedOh, but death greets me warm, now I will just say goodbyeSo goodbyeYeah goodbyeI say goodbye	Yes	Death	Death	Despair	Closure	Depression	Depression	Despair	1.0	0.46	0.2	0.38	0.38	0.46
Everybody Dies	Billie Eilish	"Everybody dies, surprise, surpriseWe tell each other lies, sometimes, we tryTo make it feel like we might be rightWe might not be aloneBe alone""Everybody dies"", that's what they sayAnd maybe in a couple hundred yearsThey'll find another wayI just wonder why you'd wanna stayIf everybody goesYou'd still be aloneI don't wanna cry, some days I doBut not about youIt's just a lot to think about the world I'm used toThe one I can't get backAt least not for a whileI sure have a knack for seeing life more like a childIt's not my fault, it's not so wrong to wonder whyEverybody diesAnd when will I?You oughta knowThat even when it's timeYou might not wanna goBut it's okay to cryAnd it's alright to foldBut you are not aloneYou are not unknown"	No	Death	Death	Mortality	Mortality	Death	Mortality	Contemplation	1.0	0.5	0.5	1.0	0.5	0.25
Ghosts Again	Depeche Mode	Wasted feelingsBroken meaningsTime is fleetingSee what it bringsHellos, goodbyes, a thousand midnightsLost in sleepless lullabiesHeaven's dreamingThoughtless thoughts, my friendsWe know we'll be ghosts againSundays shiningSilver liningsWeightless hoursAll my flowersA place to hide the tears that you criedEverybody says goodbyeFaith is sleepingLovers in the endWhisper we'll be ghosts againHeaven's dreamingThoughtless thoughts, my friendsWe know we'll be ghosts againFaith is sleepingLovers in the endWhisper we'll be ghosts again	No	Death	Loneliness	Longing	Haunting	Death	Nostalgia	Nostalgia	0.39	0.29	0.36	1.0	0.23	0.23
Show Me How	Foo Fighters	Where have you gone?I walk in circles, back to square oneMade it through yesterday, spilling wine, thinking of the timeI wrote you a melodyRolling your eyes, I held your hand a whileYou need not say anything to meI hear you loud and clearLoud and clear (ooh)I'll take care of everything from now onWhere are you now?Who will show me how?Where are you now?Who will show me how?Wait for the sunSay hello, maybe it will comeYou watched the hummingbirdsNaming every oneDo you have a minute for me?If you don't mind, I'll be stopping byTo count all the little black cloudsBut don't you worryPlease don't worry (ooh)I'll take care of everything from now onWhere are you now?Who will show me how?Where are you now?Who will show me how? (Who will show me how?)I'll take care of everything(Ooh) I'll take care of everything(Ooh) I'll take care of everything from now onWhere are you now?Who will show me how?Where are you now?Who will show me how? (Who will show me how?)Where are you now?Who will show me how?Where are you now?Who will show me?Who will show me how?I'll take care of everything(Ooh) I'll take care of everything(Ooh) I'll take care of everything(Ooh) I'll take care of everything(Ooh)	No	Death	Heartache	Longing	Vulnerability	Heartache	Longing	Longing	0.34	0.29	0.22	0.34	0.29	0.29
United in Grief	Kendrick Lamar*	"I hope you find some peace of mind in this lifetimeTell them, tell 'em, tell them the truthI hope you find some paradise (tell them, tell 'em the truth)Tell 'em, tell 'em, tell 'em, tell them your-I've been goin' through somethin'One thousand, eight hundred and 55 daysI've been goin' through somethin'Be afraidWhat is a bitch in a miniskirt?A man in his feelings with bitter nerveWhat is a woman that really hurt?A demon, you're better off killin' herWhat is a relative, making repetitive narratives on how you did it first?That is a predator, hit reverseAll of your presidents evil thirstWhat is a neighborhood rep'table?That is a snitch on a pedestalWhat is a house with a better view?A family broken in variablesWhat is a rapper with jewelry?A way that I show my maturityWhat if I call on security?That mean I'm calling on God for purityI went and got me a therapistI can debate on my theories and sharing it (whoa)Consolidate all my comparisonsHumblin' up because time was imperative (whoa)Started to feel like it's only one answer to everything, I don't know where it is (whoa)Popping a bottle of Claritin (whoa)Is it my head or my arrogance? (Whoa)Shaking and moving, like, what am I doing? I'm flipping my time through the RolodexIndulging myself and my life and my music, the world that I'm in is a cul-de-sacThe world that we in is just menacing, the demons portrayed religionousI wake in the morning, another appointment, I hope the psychologist listenin'The new Mercedes with black G WagonThe ""Where you from?"" It was all for rapI was 28 years young, twenty mill' in taxBought a couple of mansions just for practiceFive hundred in jewelry, chain was magicNever had it in public, late reaction50K to cousins, post a captionPray none of my enemies hold me captiveI grieve differentI grieve differentHuhI met her on the third night of ChicagoNorth America tour, my enclaveFee-fi-fo-fum, she was a modelDedicated to the songs I wrote and the BibleEyes like green, penetratin' the moonlightHair done in a bun, energy in the room likeBig Bang for theory, God, hopin' you hear mePhone off the ringer, tell the world I'm busyFair enough, green eyes said her mother didn't care enoughSympathize when her daddy in the chain gangHer first brother got killed, he was 21I was nine when they put Lamont in the graveHeartbroken when Estelle didn't say goodbyeChad left his body after we FaceTimedGreen eyes said you'd be okay, first tour, sex the pain awayI grieve differentI grieve differentHuhThe new Mercedes with black G WagonThe ""Where you from?"" It was all for rapI was 28 years young, twenty mill' in taxBought a couple of mansions just for practiceFive hundred in jewelry, chain was magicNever had it in public, late reaction50K to cousins, post a captionPray none of my enemies hold me captiveSo what? Paralyzed, the county building controlled usI bought a Rolex watch, I only wore it onceI bought infinity pools, I never swimmed inI watched Keem buy four cars in four monthsYou know the family dynamic's on repeatThe insecurities locked down on PCI bought a .223, nobody peace treatYou won't doo-doo me, I smell TNTDave got him a Porsche, so I got me a PorschePaid lottery for it, I ain't want it in portionsPoverty was the caseBut the money wipin' the tears awayI grieve differentEverybody grieves differentEverybody grieves differentI grieve differentHuh"	No	Death	Death	Unity	Loss	Friendship	Sorrow	Injustice	1.0	0.25	0.38	0.33	0.47	0.39
Kill or Be Killed	Muse	Cornered, I'm exhausted with fearOur love and compassion dissolvedAnd demons have materialized in meCan't fight them, they're taking controlAnd we've tried, oh, we've tried so hard to be goodBut the world rewards us when we're badFate is driving me insaneIt's forcing me to faceI must kill or be killedThey've driven a stake right through my heartI'm growing so cold and detachedAnd I've tried, oh, I've tried so hard to spread loveBut she prefers it when I assert controlFate has brought us here to faceOur hopes and dreams erasedEither kill or be killedEither kill or be killedFate is driving me insaneIt's forcing me to faceI must kill or be killed	No	Death	Death	Survival	Survival	Death	Darkness	Violence	1.0	0.44	0.44	1.0	0.44	0.52
911 Mr Lonely	Tyler, the Creator*	Call me, call me, call me, uhCall me, call me, call me, uhCall me, call me, call me, uhCall me, call me, call meCall me, how you doin'?(Call me) my name is Lonely, nice to meet youHere's my numberYou can reach me at, woo!Nine-one-one (call me) call me some time(You should call me) nine-one-one, call me some time(You should call me, oh) nine-one-one(Call me) nine-one-oneYeah, yeah, yeah, yeahMy thirst levels are infinity and beyondSippin' on that lemonade, I need a BeyoncéCan't see straight, these shades are Céline DionSucks you can't gas me up, shout out to ElonMusk, yeah I got a sold out showCrowd wild out but don't matter 'cause you not front rowI've been lookin' for a keeper, listen to the speakerIf you fit description, hit me on my beeperAt that nine-one-oneCall me some timeRing, ring, ringPlease bang my line, you know I'll answer(Click) call me some timeRing, ring, ringPlease bang my lineNine-one-one (call me) call me some time(You should call me) nine-one-one, call me some time(You should call me, oh) nine-one-one(You should call me) nine-one-oneChirp, chirpChirp, chirpWoke up in the burbs, burbsWith the the birds, birdsWhere you used to come and get me with the swerve, swerveThese days you gotta find timeEven the night lineWork lineDial nineFive car garageFull tank of the gasBut that don't mean nothin', nothin'Nothin', nothin', without you shotgun in the passengerI'm the loneliest man aliveBut I keep on dancin' to throw 'em offI'm gon' run out of moves 'cause I can't groove to the bluesIf you know any DJs, tell 'em to call me at nine-one-oneI can't even lie, I've been lonely as fuckOld lonely ass nigga (I can't even lie, I've been lonely as fuck)Need to go somewhere and get some bitches or somethingWeird ass niggaI can't even lie, I've beenLonely, lonely, lonely, lonelyThey say the loudest in the room is weakThat's what they assume, but I disagreeI say the loudest in the roomIs prolly the loneliest one in the room (that's me)Attention seeker, public speakerOh my God, that boy there is so fuckin' lonelyWritin' songs about these peopleWho do not exist, he's such a fuckin' phonyOne thing I know, is that I wannaWin so bad, but I'm not ChicagoHeart is low, it's real low, it's so lowYou can't lift me up, I'm like GallardoFrom the start it's been real darkIt's been so dark I guess that you could call me charbroiled, huhI'm playin' like HasbroI'm really Saari, call me ArtoCrashed the McLaren, bought me a TeslaI know you sick of me talkin' 'bout cars (skrrt)But what the fuck else do you want from me?That is the only thing keepin' me companyPurchase some things until I'm annoyedThese items is fillin' the voidBeen fillin' it for so longI don't even know if it's shit I enjoy (oh)Current battle as an adultMy partner is a shadowI need love, do you got some I could borrow?Fuck it, I could find some tomorrowWoah, but that never comesLike a vasectomy, what have I done?I got the talent, the face and the fundsFound myself long ago but I haven't found someone (who)Mirror, mirror on the wall (who)The loneliest of them all (me)Cupid actin' stupidDo you got another number I could call?Never had a petI've never had a petThere's more fish in the seaBut I never had a goldfish to begin withI never had a dogSo I've never been good with bitches'Cause I never threw a ball, fetchI never had a pet, that's where it stems from, I betTreat me like direct depositCheck in on me sometimeAsk me how I'm really doin'So I never have to press that nine-one-oneOh! Damn! Damn!	Yes	Loneliness	Loneliness	Loneliness	Isolation	Loneliness	Loneliness	Loneliness	1.0	1.0	0.55	1.0	1.0	1.0
Alien	Britney Spears	There was a time I was one of a kindLost in the world, out of me, myself and IWas lonely then, like an alienI tried but I never figured it outWhy I always felt like a stranger in a crowdOh, that was then, like an alienBut the stars in the sky look like home, take me homeAnd the light in your eyes lets me know I'm not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneCrossed through the universe to get where you areTravel the night, riding on a shooting starWas lonely then, like an alienHad to get used to the world I was onWhile yet still unsure if I knew where I belongOh, that was then, like an alienBut the stars in the sky look like home, take me homeAnd the light in your eyes lets me know I'm not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneBut the stars in the sky look like home, take me homeAnd the light in your eyes lets me know I'm not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not aloneNot alone, not alone, not alone	Yes	Loneliness	Loneliness	Otherness	Identity	Loneliness	Loneliness	Alienation	1.0	0.47	0.31	1.0	1.0	0.66
Biggest Mistake	Rolling Stones	"When love comes so late, it'll really hit hardIt slams through the gate, it'll catch you off guardEveryone said, ""What a perfect love match'Cause she is so smart, she's a hell of a catch""I was drinking in love, gulping it downDrifting for months on a billowing cloudBut after awhile I stopped to rebelI'm back in the past and I'm raising up hellBut I think I've just made the biggest mistake of my lifeAnd I think I've just made the biggest mistake of my lifeWe'd been living together for over a yearThe harmony's perfect, it rang loud and clearBut then very slowly, my nerves start to frayIt's the little things baby, that's what they sayI acted impatient, I acted unkindI took her for granted, I played with her mindShe didn't deserve it but it was too lateI walked out the door and left her to her fateBut I think I've just made the biggest mistake of my lifeAnd I think I've just made the biggest mistake of my lifeHoo, hoo, hoo, hooHoo, hoo, hoo, hooHoo, hoo, hoo, hooHoo, hoo, hoo, hooNow I'm down in a slump and I'm eating aloneI ruined the day with some friends on the phoneI never go out, I'm becoming a grouchI just watch the TV and I drink on the couchBut if love comes again, I'll be really surprisedI'll grab it real fast, keep it right in my sights'Cause I think I've just made the biggest mistake of my lifeWell I think I've just made the biggest mistake of my lifeAnd I think I've just made the biggest mistake of my lifeHoo, hoo, hoo, hooHoo, hoo, hoo, hooHoo, hoo, hoo, hooHoo, hoo, hoo, hoo"	Yes	Loneliness	Heartache	Regret	Regret	Love	Regret	Regret	0.69	0.53	0.53	0.39	0.53	0.53
Heartbreak Hotel	Elvis Presley	Well, since my baby left meWell, I found a new place to dwellWell, it's down at the end of Lonely StreetAt Heartbreak HotelWhere I'll be, I'll be so lonely, babyWell, I'm so lonelyI'll be so lonely, I could dieAlthough it's always crowdedYou still can find some roomFor broken hearted loversTo cry there in their gloomBe so, they'll be so lonely, babyThey get so lonelyThey're so lonely, they could dieNow, the bellhop's tears keep flowin'And the desk clerk's dressed in blackWell, they've been so long on Lonely StreetWell, they'll never, they'll never look backAnd they get so, they get so lonely, babyWell, they are so lonelyThey're so lonely, they could dieWell, now, if your baby leaves youAnd you got a tale to tellWell, just take a walk down Lonely StreetTo Heartbreak HotelWhere you will be, you will be lonely, babyWell, you will be lonelyYou'll be so lonely, you could dieAlthough it's always crowdedBut you still can find some roomFor broken hearted loversTo cry there in their gloomWhere they get so, they get so lonely, babyWell, they're so lonelyThey'll be so lonely, they could die	Yes	Loneliness	Heartache	Heartache	Heartbreak	Heartache	Heartache	Heartbreak	0.69	0.69	0.67	0.69	0.69	0.67
